prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Mrs.,Sumer,Chander,f,(02)-6033-2896,richard20@example.org,2016 Mercedes-Benz CLA45 AMG 4Matic Shooting Brake,Mercedes-Benz,2016.0,CLA45,Wagon,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.2 L / 100 km,127138,White / Black,Flat 69 ,96,Daniel Grove,Hill,"Pakenham, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,45888
,Jon,Andrews,u,(03)-6786-7379,ijacobson@example.org,2015 Holden Commodore SV6,Holden,2015.0,Commodore,Wagon,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.8 L / 100 km,197158,White / -,98/,98,Ryan Hill,Quays,"Underwood, QLD",6 cyl,Wagon, 4 Doors, 5 Seats,24790
,Courtney,Hodges,u,+61 8 3612 5964,ghester@example.net,2016 Mercedes-Benz GLS350 D 4Matic,Mercedes-Benz,2016.0,GLS350,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.6 L / 100 km,116000,White / -,878/,0,Mark Slope,Heights,"Acacia Ridge, QLD",6 cyl,SUV, 4 Doors, 7 Seats,66800
Mrs.,Shelly,Jones,f,+61 400 951 783,ahernandez@example.com,2015 Honda Fit S-EDITION HYBRID 1.5L 5 SEATER,Honda,2015.0,Fit,USED Dealer ad,USED,-,-,Other,-,-,56630,White / -,44/,836,Johnny Block,Alleyway,"Moorabbin, VIC",-,Hatchback,,,24950
,Kim,Miller,u,9337-6458,masongeorge@example.com,2010 Toyota Vellfire,Toyota,2010.0,Vellfire,Garage Apex Epping,USED,Automatic,-,Front,Premium,-,104500,Black / Black,Flat 89 ,483,Jennifer Brace,Elbow,"Epping, VIC",-,Wagon,,,25000
Mrs.,Rebecca,Young,f,08-8878-6825,krystal98@example.org,2016 Ford Ranger PX MkII XL Cab Chassis Double Cab 4dr Spts Auto 6sp 4x4 3.2D,Ford,2016.0,Ranger,SGM 4X4 & Commercials (Armidale),USED,Automatic,-,Other,-,-,108352,White / -,Unit 92 ,4,Lozano Quadrangle,Landing,"Armidale, NSW",-,Ute / Tray,,,36990
Mrs.,Mariah,Nielsen,f,+61749576736,johnsonmorgan@example.com,2006 Ford Fiesta LX,Ford,2006.0,Fiesta,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5 L / 100 km,170296,- / -,Level 2 ,7,Simpson Bend,Concourse,"Avondale Heights, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,6999
Dr.,Simon,Dick-Vercoe,f,0461-676-596,joshuacampbell@example.org,2015 Mazda 3 SP25 GT,Mazda,2015.0,3,Hatchback,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.1 L / 100 km,53815,Brown / Black,Unit 37 ,703,Cox Lees,Range,"Chatswood, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22880
Ms.,Amanda,Frye,f,(02) 7244 0970,schneiderellen@example.net,2013 Volkswagen Golf 90 TSI Comfortline,Volkswagen,2013.0,Golf,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.4 L / 100 km,146889,Silver / Black,Level 1 ,85,Tyrone Distributor,Piazza,"Port Melbourne, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,14980
,Terri,Vance,u,(02)-5981-1496,smaxwell@example.com,2004 Ford Escape XLS,Ford,2004.0,Escape,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Unleaded,12.2 L / 100 km,249659,Gold / -,Flat 36 ,6,Oconnor Brace,Link,"Lansvale, NSW",6 cyl,SUV, 4 Doors, 5 Seats,4950
Mr.,Charvi,Gera,m,(03).9690.6369,cynthia20@example.com,2014 Nissan X-Trail ST-L (fwd),Nissan,2014.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,176895,White / -,Unit 67 ,1,Monique Anchorage,Crossway,"Enfield, SA",4 cyl,SUV, 4 Doors, 5 Seats,17990
,William,Yang,u,25208481,nwilliamson@example.org,2017 BMW X1 Xdrive 25I,BMW,2017.0,X1,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.6 L / 100 km,75532,Black / Black,73/,935,Gonzalez Cul-de-sac,Trailer,"Ferntree Gully, VIC",4 cyl,SUV, 4 Doors, 5 Seats,32888
Mrs.,Deborah,Nelson,f,+61 433 849 056,thomasbrown@example.org,2012 Ford Fiesta CL PwrShift,Ford,2012.0,Fiesta,Australian Car Sales Group - Car City Minchinbury,USED,Automatic,-,Front,Unleaded,-,83404,Black / Black,Suite 885 ,582,Caitlin Street,Anchorage,"Minchinbury, NSW",-,Hatchback,,,13995
,Mary,Campbell,u,0486-538-927,nortonbradley@example.net,2017 Nissan Qashqai ST-L,Nissan,2017.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,85157,Grey / Black,Flat 09 ,41,Wilson Rotary,Wade,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,27990
Dr.,Michael,Carter,m,1672-8194,mark48@example.net,2013 Volvo V60 T4,Volvo,2013.0,V60,Wagon,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.8 L / 100 km,120720,Silver / Black,Unit 91 ,543,Wilson Riviera,Glade,"Brookvale, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,16880
,Joseph,Gonzalez,u,+61 8 4020 3299,howardjohn@example.net,2011 Toyota Estima AERAS 2.4L 7 SEATER,Toyota,2011.0,Estima,USED Dealer ad,USED,-,-,Other,-,-,69918,Silver / -,Apt. 664 ,53,Freeman Route,Way,"Moorabbin, VIC",-,Wagon,,,22950
Dr.,Dana,Wood,f,(07).4660.4618,krystal51@example.org,2009 Subaru Forester XT Premium,Subaru,2009.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,10.5 L / 100 km,215000,White / Grey,Unit 43 ,0,Cooper Chase,Lookout,"Klemzig, SA",4 cyl,SUV, 4 Doors, 5 Seats,14999
Mr.,Tanner,Hill,m,6405-1804,williamsjared@example.org,2007 Subaru Impreza 2.0I Luxury (awd),Subaru,2007.0,Impreza,Hatchback,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,9.3 L / 100 km,165205,White / Grey,1/,0,Kimberly Court,Firetrail,"Ringwood, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,11990
,Heather,Bennett,u,0471 906 651,udunn@example.org,2017 Mazda 2 NEO,Mazda,2017.0,2,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.5 L / 100 km,122821,White / -,Level 5 ,2,Rowe Mall,Cul-de-sac,"Granville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16950
Dr.,David,Tapia,m,8096-0674,courtneyjones@example.org,2011 Mitsubishi ASX (4WD),Mitsubishi,2011.0,ASX,SUV,USED,Manual,"4 cyl, 1.8 L",4WD,Diesel,5.9 L / 100 km,87092,Silver / -,9/,63,Kelly Break,Rosebowl,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,16800
,Joseph,Elliott,u,(08)91232698,ingramtina@example.net,2011 Ford Territory TX (rwd),Ford,2011.0,Territory,SUV,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,10.6 L / 100 km,156340,White / Cloth,Level 0 ,51,Cynthia Retreat,Fire Track,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10999
,Kelly,Huffman,u,+61-3-1316-3441,brittany18@example.com,2012 Volvo XC90 D5 R-Design,Volvo,2012.0,XC90,SUV,USED,Automatic,"5 cyl, 2.4 L",AWD,Diesel,9.6 L / 100 km,174208,Blue / -,926/,324,Thomas Link,Gap,"Minchinbury, NSW",5 cyl,SUV, 4 Doors, 7 Seats,15995
,Sara,Curtis,u,+61-481-788-250,cynthiawilliams@example.org,2006 Nissan Pathfinder ST (4X4),Nissan,2006.0,Pathfinder,SUV,USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.1 L / 100 km,252488,Grey / Black,Unit 43 ,23,Cheryl Approach,Garden,"Thomastown, VIC",4 cyl,SUV, 4 Doors, 7 Seats,11990
,Steven,Evans,u,+61-486-271-893,tjohnson@example.com,2011 Toyota Aurion Presara,Toyota,2011.0,Aurion,Sedan,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.9 L / 100 km,242478,Black / -,Apt. 175 ,398,Davis Street,Corner,"Minchinbury, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,12990
,Bobby,Lambert,u,08.4864.3058,baileyvincent@example.org,2010 BMW X5 Xdrive 35D,BMW,2010.0,X5,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,8.8 L / 100 km,219351,Brown / -,40/,3,Taylor Causeway,Circus,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 5 Seats,11999
Dr.,Tanya,Perkins,f,0448.025.491,michael18@example.org,2017 Holden Colorado LS (4X4),Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,112332,White / Grey,Apt. 122 ,9,Teresa Rosebowl,Plateau,"Moorooka, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,36990
Mrs.,Laura,Rogers,f,0486.954.058,idawson@example.com,2017 Hyundai Tucson Elite (awd),Hyundai,2017.0,Tucson,SUV,USED,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,7.7 L / 100 km,76810,Black / Leather,286/,3,Lisa Flat,Nook,"Echuca, VIC",4 cyl,SUV, 4 Doors, 5 Seats,32888
,Amanda,Howard,u,(08).9232.3660,taralewis@example.com,2015 Jeep Patriot Limited (4X4),Jeep,2015.0,Patriot,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.1 L / 100 km,140964,Black / -,Flat 05 ,53,Larsen Rotary,Vista,"Seven Hills, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990
,Michael,Avila,u,07518946,claytoneric@example.com,2013 Ford Territory Titanium (4X4),Ford,2013.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",AWD,Diesel,9 L / 100 km,156930,Grey / -,591/,4,April Cove,Ride,"Eastern Creek, NSW",6 cyl,SUV, 4 Doors, 7 Seats,17995
Dr.,Olwethu,Mkholo,m,9544 5215,julia22@example.net,2008 Volvo C30 S,Volvo,2008.0,C30,Hatchback,USED,Automatic,"5 cyl, 2.4 L",Front,Premium,9.1 L / 100 km,113393,Grey / -,Unit 45 ,731,Sarah Basin,Anchorage,"Bentley, WA",5 cyl,Hatchback, 3 Doors, 4 Seats,8999
Dr.,Ashley,Floyd,f,+61.2.9514.6411,hilljuan@example.net,2014 Mitsubishi Mirage LS,Mitsubishi,2014.0,Mirage,Hatchback,USED,Manual,"3 cyl, 1.2 L",Front,Unleaded,4.6 L / 100 km,132385,Red / -,Level 9 ,9,Eric Laneway,Elbow,"Winnellie, NT",3 cyl,Hatchback, 5 Doors, 5 Seats,7990
,Brandon,Griffin,u,+61.7.3242.2459,brendalawson@example.com,2013 Kia Cerato SLI,Kia,2013.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,135500,White / Black,7/,3,Lisa Gap,Stairs,"Hendra, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,16990
,Riaan,Bandi,u,2125-3494,jennasexton@example.org,2013 Ford Ranger XL 3.2 (4X4),Ford,2013.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,255307,White / -,32/,13,Katie Line,Quad,"Slacks Creek, QLD",5 cyl,Ute / Tray, 4 Doors, 5 Seats,27990
,Barbara,Adams,u,02 1983 4832,arroyoronald@example.com,2017 Ford Mustang Shelby Supersnake 50th Anniversary,Ford,2017.0,Mustang,Lorbek Luxury Cars Sydney,USED,Automatic,-,Rear,Premium,-,461,Red / -,1/,735,Price Thoroughfare,Follow,"Rushcutters Bay, NSW",-,Coupe,,,234990
,Melissa,Obrien,u,08 6192 8929,jordan50@example.org,2014 Hyundai Accent Active,Hyundai,2014.0,Accent,Hatchback,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6 L / 100 km,164231,Black / Black,Unit 12 ,689,Buck Esplanade,Dell,"Mount Gambier, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,11880
,Jessica,Black,u,+61-2-3436-7273,hchang@example.net,2013 Mazda BT-50 XT (4X2),Mazda,2013.0,BT-50,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,8.9 L / 100 km,218188,Grey / -,Unit 83 ,66,Munoz Line,Block,"Cardiff, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,16413
,Thandeka,Gcaleka,u,3546.1579,xbennett@example.com,2016 Hyundai Tucson Active X (fwd),Hyundai,2016.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,114321,- / -,Level 1 ,219,Mary Gardens,Extension,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,23805
Mr.,Richard,Gray,m,+61 440 791 984,amiller@example.net,2014 Holden Caprice V,Holden,2014.0,Caprice,Sedan,USED,Automatic,"8 cyl, 6 L",Rear,Premium,11.7 L / 100 km,268802,Black / -,Suite 823 ,17,Laura Trailer,Boulevard,"Rockingham, WA",8 cyl,Sedan, 4 Doors, 5 Seats,24990
,Kathryn,Fisher,u,7227-7514,xparker@example.net,2013 Toyota Hilux Workmate,Toyota,2013.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11 L / 100 km,149747,White / -,Suite 702 ,65,Craig Crest,Grange,"Campbelltown, NSW",4 cyl,Ute / Tray, 2 Doors, 3 Seats,24950
Mrs.,Stacy,Harris,f,+61-484-507-242,emartin@example.com,1959 Ferrari 250 Pininfarina,Ferrari,1959.0,250,Lorbek Luxury Cars Sydney,USED,Manual,-,Rear,Unleaded,-,9902,Blue / -,Level 3 ,7,Donna Trail,Elbow,"Rushcutters Bay, NSW",-,Coupe,,,1500000
Mrs.,Ebony,Anderson,f,0405 641 397,harrisjames@example.net,2017 Mazda 3 NEO,Mazda,2017.0,3,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.7 L / 100 km,103688,Silver / -,Suite 396 ,6,Peter Retreat,Dell,"Pendle Hill, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,18950
Miss,Carla,Leblanc,f,(02)-9717-1627,vsantana@example.net,2016 Volkswagen Tiguan 110 TSI Comfortline,Volkswagen,2016.0,Tiguan,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.3 L / 100 km,55256,Black / Titanium Black,7/,1,Bishop Wynd,Villas,"Tullamarine, VIC",4 cyl,SUV, 4 Doors, 5 Seats,29999
Mrs.,Sonya,Davies,f,+61-2-2534-3119,nelsonmike@example.org,2013 Audi Q7 3.0 TDI Quattro,Audi,2013.0,Q7,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.4 L / 100 km,141048,White / -,8/,72,Robert Artery,Towers,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 7 Seats,20999
,Steven,Garcia,u,+61-8-6723-5175,washingtonrobert@example.org,2016 Holden Colorado Z71 (4X4),Holden,2016.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,73059,White / Grey,Unit 16 ,175,Anna Courtyard,Artery,"Smeaton Grange, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38888
Mr.,Clifford,Cunningham,m,+61-425-569-485,brentkane@example.com,2009 Hyundai I30 SLX,Hyundai,2009.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,173806,Red / Grey Cloth Seats,841/,6,Trevor Circuit,Round,"Werribee, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,8999
,Jessica,Myers,u,+61-480-384-366,garciadouglas@example.org,2015 Toyota Corolla Ascent Sport,Toyota,2015.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,107822,White / -,Apt. 371 ,254,Juan Plateau,Flat,"Granville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19950
Mrs.,Becky,Flores,f,03 2463 0484,berryleslie@example.net,2006 Subaru Forester Cross Sport,Subaru,2006.0,Forester,Altous Motors,USED,Automatic,-,Other,Unleaded,-,138000,White / Black,2/,98,Sanchez Crossing,Track,"Oakleigh South, VIC",-,Wagon,,,17448
Dr.,Dominic,Butler,m,5350.1018,xprice@example.net,2017 Audi Q5 2.0 TDI Quattro Sport,Audi,2017.0,Q5,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.4 L / 100 km,60153,Black / -,368/,42,Davis Heights,Wynd,"Launceston, TAS",4 cyl,SUV, 4 Doors, 5 Seats,41990
Mr.,Daniel,Garza,m,+61227011295,xsmith@example.com,2006 Honda Civic VTI,Honda,2006.0,Civic,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.2 L / 100 km,152117,Blue / Grey,Level 7 ,42,Lori Bend,Broadway,"Preston, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,9650
Dr.,Nathan,Barnes,m,0441.371.288,jennifer72@example.com,2015 Mitsubishi Triton GLX (4X4),Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,8.1 L / 100 km,160576,Black / -,Suite 037 ,81,Juan Alley,Turn,"Cardiff, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,19913
,Dennis,Jones,u,+61-7-1657-0368,antonio70@example.com,2017 Nissan Navara SL,Nissan,2017.0,Navara,Adelaide Vehicle Centre South,USED,Manual,-,Other,Diesel,-,32951,Black / -,1/,25,Johnson Piazza,End,"Morphett Vale, SA",-,Ute / Tray,,,39990
Mrs.,Rebecca,Evans,f,02-9943-4822,sarahmiller@example.net,2013 Jeep Grand Cherokee Limited (4X4),Jeep,2013.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,247271,Black / Black,935/,379,Henry Riviera,Spur,"Thomastown, VIC",6 cyl,SUV, 4 Doors, 5 Seats,15990
,Alexander,Hayden,u,9316 0857,jorgewells@example.org,2014 Ford Focus Trend,Ford,2014.0,Focus,Hatchback,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,132965,Grey / Grey,Suite 895 ,2,Gallagher Break,Path,"Croydon, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,9990
Mrs.,Jasmine,Davidson,f,+61 462 196 503,bethford@example.com,2017 Mercedes-Benz Vito 114CDI,Mercedes-Benz,2017.0,Vito,Stevron Autos,USED,Automatic,-,Front,Diesel,-,153597,White / Black  Cloth,Flat 84 ,0,Crystal Ring,Roadside,"Briar Hill, VIC",-,Commercial,,,31999
Dr.,Michelle,Peterson,f,(07)-0122-1956,kara99@example.net,2015 Ford Territory Titanium (rwd),Ford,2015.0,Territory,SUV,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,10.5 L / 100 km,198943,Gold / -,Level 9 ,4,Jessica Little,Part,"Bayswater, VIC",6 cyl,SUV, 4 Doors, 7 Seats,16999
,Mx.,Bailey,u,(02).3322.5520,brianklein@example.com,2015 Volkswagen Golf 90 TSI Comfortline,Volkswagen,2015.0,Golf,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.4 L / 100 km,120372,Grey / -,Apt. 307 ,1,Cynthia Run,Gully,"Helensvale, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,16990
Mr.,Kevin,Blair,m,+61-3-8560-2507,gainesteresa@example.org,2006 Nissan X-Trail TI (4X4),Nissan,2006.0,X-Trail,SUV,USED,Manual,"4 cyl, 2.5 L",4WD,Unleaded,9.5 L / 100 km,216577,Silver / Grey,Level 1 ,3,Turner Plaza,Brae,"Islington, NSW",4 cyl,SUV, 4 Doors, 5 Seats,5990
Mrs.,Angela,Boyer,f,0429.876.470,jerry24@example.net,2016 Subaru Forester 2.5I-S,Subaru,2016.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,94800,Silver / -,16/,88,Phillip Cutting,Tarn,"McDougalls Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,27990
Mr.,Joshua,Lopez,m,+61 497 857 551,phillipmullen@example.com,2016 Toyota Landcruiser GXL (4X4),Toyota,2016.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,9.5 L / 100 km,142048,Silver / -,Unit 45 ,4,Barnett Rue,Avenue,"Osborne Park, WA",8 cyl,SUV, 4 Doors, 7 Seats,84888
Miss,Martha,Solis,f,+61 8 7951 3454,rogerssandra@example.com,2003 Toyota Echo,Toyota,2003.0,Echo,Sedan,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.6 L / 100 km,61435,Silver / -,Suite 746 ,8,Daniel Key,Place,"Maryville, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9771
Dr.,Dennis,Waller,m,0467.982.487,gwatson@example.net,2007 Mitsubishi Lancer VR-X,Mitsubishi,2007.0,Lancer,Sedan,USED,Manual,"4 cyl, 2.4 L",Front,Unleaded,9.4 L / 100 km,154805,Red / -,Suite 433 ,2,Smith Court,Pass,"Coburg, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,8990
Mr.,Christopher,Harmon,m,0484-105-953,andrew46@example.net,2017 BMW X1 Xdrive 25I,BMW,2017.0,X1,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.6 L / 100 km,73826,Black / Black,Level 0 ,826,Bond Corso,Roadside,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,37990
Mrs.,Michelle,Villanueva,f,+61.439.614.470,pkent@example.net,2014 Toyota Yaris NCP131R ZR Hatchback 5dr Auto 4sp 1.5i,Toyota,2014.0,Yaris,LV's Discount Cars,USED,Automatic,-,Front,Unleaded,-,153995,Blue / -,Unit 96 ,5,Luke Dale,Glade,"Underwood, QLD",-,Hatchback,,,13999
Dr.,David,Hudson,m,+61 461 219 009,mcknightchristopher@example.org,2017 Subaru XV 2.0I-L,Subaru,2017.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7 L / 100 km,73901,Orange / -,405/,7,Leah Gates,Port,"Port Macquarie, NSW",4 cyl,SUV, 4 Doors, 5 Seats,28990
Dr.,Laurie,Wall,f,+61.415.139.874,jensenbeth@example.com,2008 Toyota Hilux SR5 (4X4),Toyota,2008.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.5 L / 100 km,245637,- / -,Unit 10 ,5,Robert Terrace,Extension,"Underwood, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,24990
Dr.,Jessica,Mooney,f,+61876098208,lori70@example.net,2014 Toyota Kluger GX (4X2),Toyota,2014.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.2 L / 100 km,256861,Gold / -,Unit 98 ,8,Porter Common,Terrace,"Moorooka, QLD",6 cyl,SUV, 4 Doors, 7 Seats,19995
Mrs.,Allison,Williams,f,(03).5197.5494,twarren@example.com,2015 Holden Commodore SV6,Holden,2015.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,131820,Black / -,Unit 50 ,466,Russell Drive,Glade,"Maryville, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,27770
,Paul,Lara,u,07 0301 4405,patriciagreene@example.com,2000 Nissan Pulsar LX,Nissan,2000.0,Pulsar,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8 L / 100 km,300539,Red / Grey,Apt. 425 ,0,West Tollway,Quadrant,"Wentworthville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,2995
Mrs.,Wanda,Smith,f,0423.879.685,nicole91@example.net,2015 Toyota Camry Altise,Toyota,2015.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,132500,Gold / Black,424/,62,Richard Port,Garden,"Thomastown, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20990
Dr.,Joshua,Brewer,m,(08)77416025,stevenavila@example.net,2005 Nissan Elgrand Highway Star,Nissan,2005.0,Elgrand,Nippon Motors,USED,Automatic,-,Rear,Unleaded,-,20631,Black / Black,Level 0 ,51,Heather Key,Mall,"Ingleburn, NSW",-,Wagon,,,19900
,Christina,Lopez,u,8211 3489,camposebony@example.net,2011 Nissan Navara ST (4X4),Nissan,2011.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,155782,White / -,Apt. 334 ,980,Ray Towers,Port,"Victoria Park, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,12985
,Colleen,Johnson,u,+61 7 6783 0500,aprilsalazar@example.org,2013 Renault Koleos Dynamique (4X2),Renault,2013.0,Koleos,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Premium,9.3 L / 100 km,222021,Bronze / -,Level 4 ,7,Church Tollway,Laneway,"Moffat Beach, QLD",4 cyl,SUV, 4 Doors, 5 Seats,8990
Dr.,Sandra,Floyd,f,0437.899.213,byrdjoshua@example.com,2015 Mercedes-Benz A180 BE,Mercedes-Benz,2015.0,A180,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,5.8 L / 100 km,56987,Grey / -,Suite 205 ,7,Parker Circuit,Way,"Balwyn, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,26990
Dr.,Riaan,Ramachandran,m,0476 944 707,logan42@example.com,2015 Mitsubishi Outlander LS (4X2),Mitsubishi,2015.0,Outlander,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,94701,Red / -,Level 1 ,395,Miller Siding,Approach,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22776
,Justin,Robinson,u,(08) 4276 3007,patricia09@example.net,2009 Toyota Landcruiser Workmate (4X4),Toyota,2009.0,Landcruiser,SUV,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,11.9 L / 100 km,258104,Silver / -,Suite 595 ,36,Cummings Firetrail,Flat,"Osborne Park, WA",8 cyl,SUV, 4 Doors, 5 Seats,41990
Mrs.,Brianna,Graves,f,07 5612 6769,adammorgan@example.net,2016 Holden Trax LTZ,Holden,2016.0,Trax,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.9 L / 100 km,95402,Blue / Black,Level 9 ,8,Jason State Highway,Nook,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 5 Seats,16990
Dr.,Corey,Lowe,m,03-0365-7592,youngtodd@example.com,2014 Nissan Navara D40 Series 7 Titanium Utility Dual Cab 4dr Man 6sp 4x4 2.5DT,Nissan,2014.0,Navara,JR Motors World,USED,Manual,-,Other,-,-,108285,White / -,0/,4,Swanson Rest,Rue,"Blacktown, NSW",-,Ute / Tray,,,26888
,Andrew,Byrd,u,03 1425 9629,rachel60@example.net,2017 Hyundai Accent Active,Hyundai,2017.0,Accent,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,56813,- / -,03/,997,Williams Boulevard,Ridge,"Ringwood, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
